Distance,Bottom_D,Wind_Spd,Depthm,T_degC,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,ChlorA,Phaeop,PO4uM,SiO3uM,NO2uM,NO3uM,NH3uM,DarkAs,MeanAs,R_DYNHT,R_Nuts,Salnty
-38.393,2126.0,2.0,20,12.38,5.83,25.41,96.3,253.9158,1.38,0.57,0.82,8.7,0.12,7.8,0.07,0.08,4.9,0.052,0.07,33.585
-38.393,2126.0,2.0,23,12.27,5.62,25.445,92.6,244.7612,0.97,0.49,0.89,9.2,0.15,9.1,0.08,0.06,2.3,0.059,0.08,33.592
-38.393,2126.0,2.0,30,11.37,4.65,25.655,75.3,202.4745,0.37,0.32,1.27,14.1,0.22,15.3,0.03,0.03,0.3,0.076,0.03,33.684
-38.393,2126.0,2.0,31,11.34,4.49,25.689,72.5,195.5012,0.31,0.3,1.33,14.9,0.22,16.3,0.02,0.03,0.26,0.079,0.02,33.682
-38.393,2126.0,2.0,45,10.31,3.2,25.957,50.6,139.2963,0.08,0.13,1.76,21.7,0.02,22.7,0.01,0.02,0.01,0.109,0.01,33.792
-118.485,3684.0,4.0,0,13.52,6.01,24.692,101.2,261.9388,0.45,0.15,0.36,2.1,0.01,0.0,0.0,0.03,0.47,0.0,0.0,32.937
-118.485,3684.0,4.0,2,13.52,6.01,24.692,101.2,261.9388,0.45,0.15,0.36,2.1,0.01,0.0,0.0,0.03,0.47,0.006,0.0,32.937
-118.485,3684.0,4.0,10,13.52,6.01,24.694,101.2,261.9383,0.42,0.13,0.36,2.0,0.01,0.0,0.0,0.03,3.4,0.032,0.0,32.934
-118.485,3684.0,4.0,12,13.52,6.01,24.695,101.2,261.938,0.41,0.13,0.36,2.0,0.01,0.0,0.0,0.03,4.3,0.039,0.0,32.94
-118.485,3684.0,4.0,29,12.56,6.05,24.833,99.8,263.6459,0.45,0.17,0.49,3.1,0.11,1.6,0.12,0.02,3.9,0.093,0.12,32.873
-118.485,3684.0,4.0,30,12.23,6.07,24.838,100.0,264.5161,0.48,0.18,0.5,3.2,0.11,1.7,0.12,0.02,3.8,0.097,0.12,32.808
-118.485,3684.0,4.0,42,12.06,6.18,24.875,100.8,269.3,0.57,0.22,0.52,3.9,0.09,2.4,0.09,0.03,2.9,0.134,0.09,32.805
-118.485,3684.0,4.0,57,11.91,6.12,24.917,99.6,266.6745,0.39,0.2,0.59,4.3,0.13,3.3,0.16,0.02,1.1,0.18,0.16,32.822
-118.485,3684.0,4.0,75,11.54,5.97,25.014,96.3,260.1137,0.22,0.14,0.69,5.3,0.17,4.9,0.08,0.02,0.33,0.234,0.08,32.87
-118.485,3684.0,4.0,81,11.33,5.93,25.078,95.3,258.3548,0.19,0.13,0.73,5.9,0.17,5.6,0.06,0.02,0.07,0.251,0.06,32.893
-47.507,101.0,11.0,0,13.51,5.92,25.12,100.0,257.9085,0.5,0.14,0.52,2.8,0.05,2.9,0.26,0.05,6.0,0.0,0.26,33.488
-47.507,101.0,11.0,1,13.51,5.92,25.12,100.0,257.9085,0.5,0.14,0.52,2.8,0.05,2.9,0.26,0.05,6.0,0.003,0.26,33.488
-47.507,101.0,11.0,14,13.34,5.88,25.161,99.0,256.1557,0.54,0.17,0.55,3.3,0.06,3.5,0.28,0.05,8.6,0.039,0.28,33.496
-47.507,101.0,11.0,20,12.53,5.39,25.33,89.5,234.7707,1.07,0.43,0.8,7.8,0.09,7.7,0.15,0.04,6.2,0.056,0.15,33.561
-47.507,101.0,11.0,30,11.03,3.74,25.717,60.1,162.8406,0.25,0.22,1.47,16.6,0.05,18.1,0.04,0.03,1.4,0.08,0.04,33.672
-47.507,101.0,11.0,31,10.96,3.57,25.758,57.2,155.4326,0.17,0.19,1.54,17.5,0.04,19.1,0.02,0.03,0.91,0.083,0.02,33.682
-47.507,101.0,11.0,46,10.65,3.28,25.864,52.2,142.7916,0.13,0.18,1.67,20.2,0.03,20.8,0.01,0.02,0.38,0.115,0.01,33.748
-47.507,101.0,11.0,50,10.6,3.26,25.876,51.9,141.9193,0.13,0.17,1.68,20.5,0.03,21.0,0.02,0.02,0.31,0.123,0.02,33.762
-47.507,101.0,11.0,62,10.56,3.2,25.901,50.9,139.3039,0.14,0.16,1.71,21.2,0.04,21.3,0.03,0.03,0.17,0.149,0.03,33.775
-47.507,101.0,11.0,75,10.26,2.97,25.978,47.0,129.2817,0.09,0.14,1.8,23.1,0.03,22.7,0.04,0.03,0.11,0.176,0.04,33.835
-47.507,101.0,11.0,91,10.13,2.8,26.043,44.1,121.874,0.07,0.13,1.88,24.7,0.02,23.6,0.02,0.02,0.03,0.208,0.02,33.862
-162.731,4089.0,9.0,0,12.79,6.18,24.812,102.5,269.3165,0.72,0.18,0.44,3.1,0.04,1.0,0.06,0.07,6.8,0.0,0.06,32.905
-162.731,4089.0,9.0,2,12.79,6.18,24.812,102.5,269.3165,0.72,0.18,0.44,3.1,0.04,1.0,0.06,0.07,6.8,0.006,0.06,32.905
-162.731,4089.0,9.0,10,12.72,6.19,24.819,102.5,269.7505,0.5,0.15,0.44,3.1,0.04,1.0,0.06,0.07,8.5,0.031,0.06,32.896
-162.731,4089.0,9.0,27,12.74,6.07,24.855,100.6,264.5118,0.79,0.27,0.46,3.1,0.07,1.4,0.1,0.05,5.1,0.084,0.1,32.947
-162.731,4089.0,9.0,30,12.3,6.13,24.867,101.1,267.1233,0.76,0.26,0.48,3.5,0.07,1.7,0.09,0.05,4.9,0.093,0.09,32.853
-162.731,4089.0,9.0,38,12.03,6.21,24.91,101.3,270.598,0.67,0.25,0.53,4.2,0.08,2.5,0.06,0.04,4.2,0.118,0.06,32.843
-162.731,4089.0,9.0,50,12.56,5.74,24.994,94.7,250.0975,0.2,0.14,0.54,3.2,0.09,2.7,0.01,0.02,0.76,0.154,0.01,33.08
-162.731,4089.0,9.0,51,12.53,5.71,25.001,94.3,248.7886,0.17,0.13,0.54,3.1,0.09,2.7,0.0,0.02,0.47,0.157,0.0,33.082
-162.731,4089.0,9.0,74,12.03,5.46,25.174,89.2,237.8558,0.08,0.08,0.66,4.5,0.06,5.1,0.0,0.01,0.05,0.223,0.0,33.182
-50.853,1658.0,9.0,0,13.56,6.14,25.109,103.8,267.4958,0.99,0.23,0.47,4.2,0.03,2.0,0.05,0.07,10.4,0.0,0.05,33.487
-50.853,1658.0,9.0,1,13.56,6.14,25.109,103.8,267.4958,0.99,0.23,0.47,4.2,0.03,2.0,0.05,0.07,10.4,0.003,0.05,33.487
-50.853,1658.0,9.0,10,13.38,6.07,25.163,102.2,264.4323,0.81,0.3,0.54,4.9,0.07,3.3,0.04,0.06,10.6,0.028,0.04,33.491
-50.853,1658.0,9.0,12,13.24,6.05,25.182,101.7,263.5562,0.76,0.32,0.57,5.1,0.09,3.8,0.04,0.06,10.7,0.034,0.04,33.497
-50.853,1658.0,9.0,20,12.99,5.87,25.23,98.2,255.7028,0.74,0.41,0.67,5.8,0.19,5.2,0.04,0.05,9.7,0.056,0.04,33.511
-50.853,1658.0,9.0,29,12.76,5.69,25.306,94.7,247.8435,0.71,0.48,0.83,7.1,0.34,6.9,0.04,0.04,7.1,0.08,0.04,33.534
-50.853,1658.0,9.0,30,12.53,5.4,25.348,89.4,235.2021,0.63,0.45,0.93,8.2,0.29,8.5,0.03,0.04,6.5,0.083,0.03,33.545
-50.853,1658.0,9.0,42,11.23,3.78,25.651,60.9,164.5928,0.14,0.21,1.48,15.0,0.01,17.2,0.0,0.01,0.41,0.112,0.0,33.607
-50.853,1658.0,9.0,50,10.81,3.63,25.768,57.9,158.0434,0.07,0.14,1.59,16.8,0.01,18.8,0.0,0.01,0.24,0.13,0.0,33.656
-50.853,1658.0,9.0,57,10.59,3.58,25.815,56.9,155.8593,0.05,0.13,1.62,17.6,0.0,19.6,0.0,0.02,0.09,0.146,0.0,33.672
-50.853,1658.0,9.0,75,9.98,3.25,25.986,51.1,141.4688,0.01,0.12,1.76,21.3,0.0,21.8,0.0,0.01,0.04,0.184,0.0,33.793
-50.853,1658.0,9.0,82,9.87,3.11,26.048,48.7,135.3666,0.01,0.08,1.83,23.0,0.0,22.9,0.0,0.01,0.02,0.197,0.0,33.812
-150.724,3821.0,16.0,0,12.62,6.19,24.968,102.4,269.7112,0.57,0.14,0.5,3.7,0.03,1.8,0.08,0.04,3.2,0.0,0.08,33.064
-150.724,3821.0,16.0,1,12.62,6.19,24.968,102.4,269.7112,0.57,0.14,0.5,3.7,0.03,1.8,0.08,0.04,3.2,0.003,0.08,33.064
-150.724,3821.0,16.0,13,12.6,6.19,24.973,102.3,269.7099,0.64,0.17,0.49,3.6,0.03,1.9,0.05,0.04,8.0,0.039,0.05,33.065
-150.724,3821.0,16.0,20,12.59,6.15,24.982,101.7,267.9647,0.68,0.2,0.5,3.6,0.04,1.8,0.1,0.03,7.2,0.06,0.1,33.076
-150.724,3821.0,16.0,30,12.57,6.1,24.996,100.8,265.7825,0.59,0.25,0.52,3.7,0.05,2.0,0.18,0.02,4.3,0.089,0.18,33.09
-150.724,3821.0,16.0,31,12.57,6.09,24.999,100.6,265.346,0.57,0.25,0.52,3.7,0.05,2.0,0.19,0.02,3.9,0.092,0.19,33.09
-150.724,3821.0,16.0,50,11.82,5.82,25.144,94.7,253.5461,0.26,0.19,0.72,5.5,0.12,5.7,0.09,0.03,0.74,0.147,0.09,33.111
-150.724,3821.0,16.0,59,11.57,5.6,25.27,90.6,243.9318,0.19,0.18,0.85,7.2,0.12,8.3,0.01,0.03,0.35,0.172,0.01,33.196
-150.724,3821.0,16.0,75,12.09,5.43,25.404,89.2,236.4958,0.16,0.19,0.96,9.1,0.31,10.2,0.0,0.03,0.15,0.214,0.0,33.549
-150.724,3821.0,16.0,86,11.73,4.95,25.53,80.6,215.5636,0.09,0.16,1.15,11.5,0.1,13.4,0.0,0.03,0.02,0.242,0.0,33.568
-310.44,4094.0,20.0,0,14.86,5.87,24.678,101.8,255.8406,0.27,0.08,0.32,2.0,0.0,0.0,0.0,0.05,2.7,0.0,0.0,33.281
-310.44,4094.0,20.0,2,14.86,5.87,24.678,101.8,255.8406,0.27,0.08,0.32,2.0,0.0,0.0,0.0,0.05,2.7,0.007,0.0,33.281
-310.44,4094.0,20.0,11,14.85,5.88,24.68,102.0,256.2759,0.25,0.07,0.31,1.8,0.0,0.0,0.0,0.06,3.8,0.036,0.0,33.281
-310.44,4094.0,20.0,28,14.85,5.87,24.68,101.8,255.8401,0.28,0.08,0.31,1.9,0.0,0.0,0.0,0.05,2.2,0.091,0.0,33.28
-310.44,4094.0,20.0,30,14.85,5.86,24.69,101.5,255.4017,0.35,0.11,0.32,2.0,0.01,0.1,0.01,0.05,2.3,0.098,0.01,33.28
-310.44,4094.0,20.0,40,14.33,5.84,24.801,100.2,254.5025,0.61,0.26,0.39,2.3,0.06,0.9,0.03,0.03,2.5,0.13,0.03,33.293
-310.44,4094.0,20.0,50,12.8,5.42,25.074,90.7,236.1363,0.34,0.18,0.68,5.0,0.18,5.5,0.01,0.02,0.84,0.16,0.01,33.332
-310.44,4094.0,20.0,53,12.5,5.24,25.199,86.6,228.2663,0.2,0.13,0.81,6.3,0.1,7.7,0.0,0.02,0.28,0.168,0.0,33.33
-310.44,4094.0,20.0,75,11.15,4.5,25.522,72.3,195.9685,0.08,0.07,1.25,12.1,0.09,14.8,0.0,0.01,0.04,0.226,0.0,33.429
-310.44,4094.0,20.0,77,11.09,4.49,25.543,72.0,195.529,0.07,0.06,1.25,12.3,0.09,14.9,0.0,0.01,0.02,0.231,0.0,33.435
-9.543,614.0,3.0,0,14.09,6.13,25.001,104.8,267.0883,0.9,0.38,0.31,2.0,0.0,0.3,0.08,0.1,12.9,0.0,0.08,33.488
-9.543,614.0,3.0,2,14.09,6.13,25.001,104.8,267.0883,0.9,0.38,0.31,2.0,0.0,0.3,0.08,0.1,12.9,0.006,0.08,33.488
-9.543,614.0,3.0,10,13.98,6.13,25.019,104.6,267.0836,1.0,0.46,0.3,2.0,0.01,0.4,0.08,0.1,18.2,0.029,0.08,33.487
-9.543,614.0,3.0,11,13.98,6.13,25.023,104.6,267.0826,1.0,0.47,0.3,2.0,0.01,0.4,0.08,0.1,18.8,0.032,0.08,33.487
-9.543,614.0,3.0,20,13.83,5.95,25.043,101.2,259.235,0.7,0.41,0.38,3.4,0.06,1.2,0.24,0.06,11.4,0.059,0.24,33.477
-9.543,614.0,3.0,25,13.79,5.91,25.054,100.4,257.4894,0.61,0.4,0.4,3.6,0.07,1.5,0.24,0.04,5.6,0.073,0.24,33.476
-9.543,614.0,3.0,30,13.74,5.86,25.072,99.4,255.3066,0.5,0.43,0.44,3.9,0.11,2.0,0.33,0.04,3.2,0.088,0.33,33.476
-9.543,614.0,3.0,36,13.61,5.69,25.093,96.3,247.895,0.39,0.46,0.48,4.2,0.15,2.7,0.4,0.03,1.4,0.105,0.4,33.478
-9.543,614.0,3.0,48,12.61,4.66,25.302,77.3,202.9798,0.27,0.37,0.95,8.4,0.16,10.3,0.04,0.04,0.39,0.138,0.04,33.491
-9.543,614.0,3.0,50,12.23,4.41,25.368,72.8,192.078,0.24,0.33,1.05,9.8,0.13,11.9,0.03,0.04,0.36,0.143,0.03,33.515
-9.543,614.0,3.0,69,11.64,2.58,25.687,42.0,112.3372,0.07,0.17,1.71,20.2,0.01,19.7,0.0,0.03,0.03,0.189,0.0,33.749
-69.192,1711.0,5.0,0,13.89,6.15,25.012,104.7,267.9569,0.94,0.35,0.4,1.6,0.03,0.9,0.07,0.1,18.6,0.0,0.07,33.449
-69.192,1711.0,5.0,2,13.89,6.15,25.012,104.7,267.9569,0.94,0.35,0.4,1.6,0.03,0.9,0.07,0.1,18.6,0.006,0.07,33.449
-69.192,1711.0,5.0,12,13.85,6.13,25.023,104.3,267.0826,1.03,0.34,0.38,1.7,0.03,0.9,0.06,0.09,21.7,0.035,0.06,33.452
-69.192,1711.0,5.0,20,13.72,5.93,25.066,100.6,258.3578,1.11,0.4,0.44,2.8,0.05,1.9,0.08,0.08,16.7,0.058,0.08,33.471
-69.192,1711.0,5.0,30,13.65,5.79,25.084,98.1,252.2539,0.79,0.36,0.48,3.2,0.06,2.6,0.14,0.06,8.0,0.087,0.14,33.477
-69.192,1711.0,5.0,42,13.14,5.36,25.191,89.9,233.4956,0.69,0.53,0.71,5.4,0.15,6.0,0.16,0.05,3.0,0.121,0.16,33.482
-69.192,1711.0,5.0,57,11.33,3.68,25.633,59.4,160.2413,0.15,0.21,1.41,14.9,0.0,17.3,0.0,0.03,0.28,0.159,0.0,33.607
-69.192,1711.0,5.0,75,10.79,2.83,25.853,45.2,123.2026,0.04,0.12,1.77,20.7,0.0,21.7,0.0,0.03,0.09,0.199,0.0,33.746
-69.192,1711.0,5.0,81,10.67,2.75,25.885,43.8,119.7161,0.03,0.12,1.8,21.6,0.0,22.2,0.0,0.03,0.03,0.212,0.0,33.778
-208.821,3481.0,20.0,0,13.11,6.02,25.154,100.8,262.2564,1.09,0.39,0.58,4.9,0.13,4.5,0.0,0.08,6.0,0.0,0.0,33.428
-208.821,3481.0,20.0,2,13.11,6.02,25.154,100.8,262.2564,1.09,0.39,0.58,4.9,0.13,4.5,0.0,0.08,6.0,0.006,0.0,33.428
-208.821,3481.0,20.0,9,13.1,6.01,25.158,100.6,261.8198,1.06,0.36,0.58,4.8,0.14,4.4,0.0,0.07,13.6,0.025,0.0,33.43
-208.821,3481.0,20.0,10,13.1,6.01,25.158,100.6,261.8198,1.06,0.36,0.58,4.8,0.14,4.4,0.0,0.07,13.3,0.028,0.0,33.428
-208.821,3481.0,20.0,20,13.09,6.01,25.158,100.6,261.8198,1.05,0.38,0.58,4.7,0.14,4.4,0.01,0.07,10.5,0.056,0.01,33.428
-208.821,3481.0,20.0,22,13.09,6.01,25.159,100.6,261.8195,1.05,0.38,0.58,4.7,0.14,4.4,0.01,0.07,9.9,0.062,0.01,33.428
-208.821,3481.0,20.0,30,13.09,5.99,25.16,100.3,260.9479,1.14,0.41,0.58,4.8,0.14,4.4,0.01,0.05,5.3,0.084,0.01,33.429
-208.821,3481.0,20.0,40,12.9,5.8,25.221,96.7,252.6558,0.59,0.3,0.72,5.8,0.26,5.9,0.08,0.04,1.5,0.112,0.08,33.46
-208.821,3481.0,20.0,58,11.29,4.52,25.606,72.9,196.8233,0.11,0.13,1.26,13.1,0.04,15.4,0.0,0.03,0.03,0.158,0.0,33.563
-328.612,2482.0,17.0,0,14.74,5.93,24.67,102.6,258.4576,0.38,0.12,0.33,1.7,0.0,0.0,0.01,0.06,3.8,0.0,0.01,33.237
-328.612,2482.0,17.0,2,14.74,5.93,24.67,102.6,258.4576,0.38,0.12,0.33,1.7,0.0,0.0,0.01,0.06,3.8,0.007,0.01,33.237
-328.612,2482.0,17.0,10,14.73,5.91,24.672,102.2,257.5854,0.39,0.12,0.54,1.6,0.0,0.0,0.18,0.06,4.9,0.033,0.18,33.238
-328.612,2482.0,17.0,11,14.73,5.91,24.672,102.2,257.5854,0.39,0.12,0.56,1.6,0.0,0.0,0.2,0.06,5.1,0.036,0.2,33.237
-328.612,2482.0,17.0,20,14.71,5.92,24.68,102.3,258.0193,0.41,0.13,0.38,1.7,0.0,0.0,0.01,0.06,4.8,0.065,0.01,33.238
-328.612,2482.0,17.0,27,14.56,5.93,24.697,102.2,258.4508,0.48,0.16,0.39,1.6,0.0,0.0,0.03,0.06,4.5,0.088,0.03,33.222
-328.612,2482.0,17.0,30,14.59,5.93,24.701,102.2,258.4498,0.47,0.17,0.38,1.6,0.0,0.0,0.03,0.05,3.9,0.098,0.03,33.234
-328.612,2482.0,17.0,38,14.59,5.91,24.704,101.9,257.5774,0.46,0.18,0.37,1.6,0.01,0.1,0.03,0.04,2.3,0.124,0.03,33.238
-328.612,2482.0,17.0,50,14.42,5.86,24.728,100.7,255.3923,0.36,0.17,0.39,1.6,0.04,0.3,0.13,0.03,0.74,0.162,0.13,33.224
-328.612,2482.0,17.0,51,14.41,5.85,24.731,100.5,254.9557,0.34,0.16,0.39,1.6,0.04,0.4,0.14,0.03,0.65,0.166,0.14,33.224
-328.612,2482.0,17.0,73,12.37,4.9,25.233,80.7,213.4481,0.16,0.15,0.91,7.7,0.04,10.7,0.01,0.02,0.06,0.233,0.01,33.341
-1.947,67.0,6.0,0,13.2,5.7,25.164,95.7,248.3134,1.95,0.64,0.72,7.0,0.19,5.3,0.44,0.09,29.5,0.0,0.44,33.464
-1.947,67.0,6.0,1,13.2,5.7,25.164,95.7,248.3134,1.95,0.64,0.72,7.0,0.19,5.3,0.44,0.09,29.5,0.003,0.44,33.464
-1.947,67.0,6.0,7,13.06,5.61,25.197,93.9,244.3848,1.62,0.74,0.75,7.4,0.2,5.7,0.53,0.18,11.0,0.019,0.53,33.47
-1.947,67.0,6.0,10,13.03,5.59,25.199,93.5,243.5131,1.48,0.73,0.75,7.4,0.2,5.7,0.56,0.17,11.0,0.028,0.56,33.471
-1.947,67.0,6.0,16,13.02,5.56,25.206,93.0,242.2046,1.31,0.71,0.76,7.5,0.2,5.8,0.6,0.12,10.9,0.044,0.6,33.472
-1.947,67.0,6.0,20,13.01,5.55,25.21,92.8,241.768,1.31,0.72,0.76,7.6,0.21,5.9,0.59,0.12,7.0,0.055,0.59,33.471
-1.947,67.0,6.0,23,13.01,5.54,25.211,92.6,241.3322,1.31,0.73,0.76,7.6,0.21,6.0,0.58,0.12,4.0,0.064,0.58,33.475
-1.947,67.0,6.0,30,13.02,5.55,25.209,92.8,241.7683,1.38,0.76,0.78,7.7,0.21,5.9,0.59,0.11,1.8,0.083,0.59,33.471
-1.947,67.0,6.0,31,13.01,5.55,25.208,92.8,241.7685,1.38,0.76,0.78,7.7,0.21,5.9,0.59,0.11,1.7,0.086,0.59,33.471
-1.947,67.0,6.0,45,13.0,5.51,25.211,92.1,240.0253,1.1,0.73,0.77,7.7,0.21,5.9,0.64,0.1,0.16,0.124,0.64,33.472
-54.663,1663.0,5.0,0,14.06,5.98,25.038,102.2,260.5433,2.41,0.58,0.44,2.1,0.09,1.4,0.09,0.18,34.6,0.0,0.09,33.528
-54.663,1663.0,5.0,2,14.06,5.98,25.038,102.2,260.5433,2.41,0.58,0.44,2.1,0.09,1.4,0.09,0.18,34.6,0.006,0.09,33.528
-54.663,1663.0,5.0,7,13.96,5.9,25.06,100.6,257.0523,2.61,0.77,0.43,2.2,0.09,1.5,0.08,0.29,42.3,0.02,0.08,33.53
-54.663,1663.0,5.0,16,13.95,5.87,25.063,100.1,255.7445,2.61,0.74,0.45,2.1,0.09,1.6,0.07,0.09,22.4,0.046,0.07,33.53
-54.663,1663.0,5.0,20,13.94,5.82,25.067,99.2,253.5651,2.46,0.72,0.47,2.3,0.1,2.0,0.08,0.08,12.9,0.058,0.08,33.526
-54.663,1663.0,5.0,23,13.89,5.78,25.072,98.4,251.8212,2.22,0.7,0.48,2.5,0.1,2.3,0.09,0.07,6.8,0.067,0.09,33.525
-54.663,1663.0,5.0,30,13.24,5.32,25.197,89.4,231.7518,1.04,0.49,0.73,5.9,0.18,6.0,0.12,0.05,1.3,0.086,0.12,33.516
-54.663,1663.0,5.0,45,11.98,4.49,25.411,73.5,195.5542,0.17,0.25,1.13,10.0,0.06,12.9,0.05,0.03,0.09,0.126,0.05,33.476
-174.133,3886.0,18.0,0,13.86,5.91,24.908,100.5,257.5261,0.64,0.2,0.46,2.8,0.08,1.7,0.07,0.14,6.4,0.0,0.07,33.306
-174.133,3886.0,18.0,2,13.86,5.91,24.908,100.5,257.5261,0.64,0.2,0.46,2.8,0.08,1.7,0.07,0.14,6.4,0.006,0.07,33.306
-174.133,3886.0,18.0,10,13.84,5.91,24.913,100.4,257.5249,0.64,0.21,0.45,2.8,0.08,1.7,0.1,0.12,7.8,0.03,0.1,33.307
-174.133,3886.0,18.0,20,13.83,5.91,24.916,100.4,257.5241,0.67,0.22,0.44,2.8,0.08,1.8,0.06,0.1,6.5,0.061,0.06,33.307
-174.133,3886.0,18.0,24,13.83,5.9,24.917,100.2,257.0881,0.67,0.21,0.44,2.8,0.08,1.9,0.08,0.09,5.4,0.073,0.08,33.309
-174.133,3886.0,18.0,30,13.84,5.9,24.919,100.2,257.0876,0.68,0.23,0.44,2.9,0.08,2.0,0.07,0.07,3.4,0.091,0.07,33.308
-174.133,3886.0,18.0,34,13.83,5.9,24.921,100.2,257.0871,0.68,0.24,0.45,2.9,0.08,2.1,0.06,0.05,2.1,0.103,0.06,33.314
-174.133,3886.0,18.0,45,13.78,5.89,24.938,100.0,256.6471,0.63,0.23,0.47,3.0,0.09,2.3,0.07,0.03,0.83,0.136,0.07,33.322
-174.133,3886.0,18.0,50,13.78,5.88,24.943,99.7,256.2101,0.6,0.24,0.47,3.0,0.1,2.3,0.08,0.03,0.64,0.152,0.08,33.321
-174.133,3886.0,18.0,66,13.3,5.82,25.11,97.8,253.5545,0.35,0.21,0.59,4.4,0.2,4.4,0.23,0.05,0.05,0.199,0.23,33.418
-294.156,4195.0,15.0,0,15.69,5.78,24.546,102.0,251.9504,0.19,0.06,0.31,1.6,0.0,0.1,0.01,0.13,0.1,0.0,0.01,33.346
-294.156,4195.0,15.0,1,15.69,5.78,24.546,102.0,251.9504,0.19,0.06,0.31,1.6,0.0,0.1,0.01,0.13,0.1,0.003,0.01,33.346
-294.156,4195.0,15.0,18,15.69,5.73,24.547,101.1,249.7707,0.19,0.06,0.29,1.5,0.0,0.1,0.01,0.03,2.5,0.061,0.01,33.347
-294.156,4195.0,15.0,20,15.69,5.73,24.547,101.1,249.7707,0.19,0.06,0.29,1.5,0.0,0.1,0.01,0.03,2.5,0.068,0.01,33.345
-294.156,4195.0,15.0,30,15.69,5.73,24.548,101.1,249.7704,0.2,0.06,0.29,1.5,0.0,0.1,0.01,0.04,2.2,0.102,0.01,33.345
-294.156,4195.0,15.0,41,15.68,5.73,24.547,101.1,249.7707,0.22,0.08,0.29,1.5,0.0,0.2,0.01,0.04,2.0,0.139,0.01,33.343
-294.156,4195.0,15.0,59,15.46,5.75,24.574,101.0,250.6359,0.28,0.1,0.3,1.5,0.0,0.2,0.03,0.02,1.1,0.2,0.03,33.313
-294.156,4195.0,15.0,75,15.35,5.76,24.587,100.9,251.0686,0.27,0.12,0.31,1.3,0.0,0.3,0.05,0.02,0.55,0.254,0.05,33.301
-294.156,4195.0,15.0,79,15.29,5.76,24.596,100.8,251.0664,0.28,0.13,0.31,1.3,0.0,0.3,0.06,0.02,0.44,0.267,0.06,33.292
-294.156,4195.0,15.0,100,14.78,5.75,24.711,99.6,250.6024,0.16,0.09,0.37,1.4,0.07,1.0,0.17,0.02,0.2,0.336,0.17,33.303
